ym,device_type,sessions,orders,conversion_rate_pct
2012-03,desktop,1145,50,4.37
2012-03,mobile,734,10,1.36
2012-04,desktop,2285,84,3.68
2012-04,mobile,1449,15,1.04
2012-05,desktop,2555,96,3.76
2012-05,mobile,1181,12,1.02
2012-06,desktop,3014,131,4.35
2012-06,mobile,949,9,0.95
2012-07,desktop,3153,150,4.76
2012-07,mobile,1096,19,1.73
2012-08,desktop,4593,215,4.68
2012-08,mobile,1504,13,0.86
2012-09,desktop,4995,261,5.23
2012-09,mobile,1551,26,1.68
2012-10,desktop,6319,337,5.33
2012-10,mobile,1864,34,1.82
2012-11,desktop,10871,563,5.18
2012-11,mobile,3140,55,1.75
2012-12,desktop,7645,466,6.1
2012-12,mobile,2427,40,1.65
2013-01,desktop,4717,345,7.31
2013-01,mobile,1684,46,2.73
2013-02,desktop,5379,439,8.16
2013-02,mobile,1789,58,3.24
2013-03,desktop,4688,348,7.42
2013-03,mobile,1576,37,2.35
2013-04,desktop,6022,502,8.34
2013-04,mobile,1949,51,2.62
2013-05,desktop,6476,508,7.84
2013-05,mobile,1973,63,3.19
2013-06,desktop,6271,546,8.71
2013-06,mobile,2054,48,2.34
2013-07,desktop,6699,519,7.75
2013-07,mobile,2204,84,3.81
2013-08,desktop,6518,526,8.07
2013-08,mobile,2662,82,3.08
2013-09,desktop,6367,526,8.26
2013-09,mobile,3213,103,3.21
2013-10,desktop,7278,607,8.34
2013-10,mobile,3495,101,2.89
2013-11,desktop,9328,711,7.62
2013-11,mobile,4704,150,3.19
2013-12,desktop,10443,854,8.18
2013-12,mobile,5292,193,3.65
2014-01,desktop,9098,825,9.07
2014-01,mobile,5727,158,2.76
2014-02,desktop,9627,841,8.74
2014-02,mobile,6658,180,2.7
2014-03,desktop,9799,897,9.15
2014-03,mobile,5870,168,2.86
2014-04,desktop,11519,1019,8.85
2014-04,mobile,5834,222,3.81
2014-05,desktop,11834,1135,9.59
2014-05,mobile,6227,233,3.74
2014-06,desktop,11764,1032,8.77
2014-06,mobile,5951,207,3.48
2014-07,desktop,12759,1071,8.39
2014-07,mobile,6279,216,3.44
2014-08,desktop,12515,1126,9.0
2014-08,mobile,6075,198,3.26
2014-09,desktop,13234,1213,9.17
2014-09,mobile,6279,211,3.36
2014-10,desktop,14674,1378,9.39
2014-10,mobile,6852,231,3.37
2014-11,desktop,17749,1737,9.79
2014-11,mobile,7376,248,3.36
2014-12,desktop,20952,2007,9.58
2014-12,mobile,8770,307,3.5
2015-01,desktop,17664,1835,10.39
2015-01,mobile,7673,264,3.44
2015-02,desktop,16603,1800,10.84
2015-02,mobile,7175,267,3.72
2015-03,desktop,10475,1105,10.55
2015-03,mobile,4608,149,3.23
