ym,sessions,orders,revenue,cogs,conversion_rate_pct,margin_pct,aov
2012-03,1879,60,2999.4,1169.3999999999999,3.19,61.01,49.99
2012-04,3734,99,4949.01,1929.5099999999998,2.65,61.01,49.99
2012-05,3736,108,5398.92,2104.9199999999996,2.89,61.01,49.99
2012-06,3963,140,6998.6,2728.6,3.53,61.01,49.99
2012-07,4249,169,8448.31,3293.81,3.98,61.01,49.99
2012-08,6097,228,11397.720000000001,4443.719999999999,3.74,61.01,49.99
2012-09,6546,287,14347.130000000001,5593.629999999999,4.38,61.01,49.99
2012-10,8183,371,18546.29,7230.789999999999,4.53,61.01,49.99
2012-11,14011,618,30893.82,12044.82,4.41,61.01,49.99
2012-12,10072,506,25294.940000000002,9861.939999999999,5.02,61.01,49.99
2013-01,6401,390,19966.100000000002,7742.099999999999,6.09,61.22,51.2
2013-02,7168,498,26515.02,10192.019999999999,6.95,61.56,53.24
2013-03,6264,385,19896.15,7698.65,6.15,61.31,51.68
2013-04,7971,553,28584.47,11059.97,6.94,61.31,51.69
2013-05,8449,571,29364.29,11374.789999999999,6.76,61.26,51.43
2013-06,8325,593,30544.07,11827.57,7.12,61.28,51.51
2013-07,8903,604,31143.960000000003,12056.96,6.78,61.29,51.56
2013-08,9180,608,31373.920000000002,12143.919999999998,6.62,61.29,51.6
2013-09,9580,629,32723.65,12670.15,6.57,61.28,52.02
2013-10,10773,708,38242.62,14788.619999999999,6.57,61.33,54.02
2013-11,14032,861,46631.020000000004,18024.019999999997,6.14,61.35,54.16
2013-12,15735,1047,58262.600000000006,22072.6,6.65,62.12,55.65
2014-01,14825,982,56568.89,21202.39,6.62,62.52,57.61
2014-02,16285,1021,66012.52,24250.52,6.27,63.26,64.65
2014-03,15669,1066,68189.73,25121.23,6.8,63.16,63.97
2014-04,17353,1241,78725.43000000001,29011.93,7.15,63.15,63.44
2014-05,18061,1368,88935.27,32767.769999999997,7.57,63.16,65.01
2014-06,17715,1239,80051.25,29450.75,6.99,63.21,64.61
2014-07,19038,1286,83288.55,30722.05,6.75,63.11,64.77
2014-08,18590,1325,84716.08,31137.079999999998,7.13,63.25,63.94
2014-09,19513,1424,92232.49,33922.99,7.3,63.22,64.77
2014-10,21526,1609,103905.98000000001,38158.979999999996,7.47,63.28,64.58
2014-11,25125,1985,128162.98000000001,47177.979999999996,7.9,63.19,64.57
2014-12,29722,2314,144823.02000000002,52966.02,7.79,63.43,62.59
2015-01,25337,2098,132211.54,48300.54,8.28,63.47,63.02
2015-02,23778,2068,129212.94,47206.939999999995,8.7,63.47,62.48
2015-03,15083,1254,78951.07,28920.57,8.31,63.37,62.96
