month_num,month_name,revenue,orders,cogs,margin_pct,aov
1,January,208746.53,3470,77245.03,63.0,60.16
2,February,221740.48,3587,81649.48,63.18,61.82
3,March,170036.35,2765,62909.85,63.0,61.5
4,April,112258.91,1893,42001.409999999996,62.59,59.3
5,May,123698.48000000001,2047,46247.479999999996,62.61,60.43
6,June,117593.92,1972,44006.92,62.58,59.63
7,July,122880.82,2059,46072.82,62.51,59.68
8,August,127487.72,2161,47724.719999999994,62.57,58.99
9,September,139303.27000000002,2340,52186.77,62.54,59.53
10,October,160694.89,2688,60178.39,62.55,59.78
11,November,205687.82,3464,77246.81999999999,62.44,59.38
12,December,228380.56,3867,84900.56,62.82,59.06
