converted,traffic_source,device_type,is_repeat_session
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
1,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
1,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
1,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,mobile,0
1,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
1,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,mobile,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
0,gsearch,desktop,0
